nmun,desciel,dh,dirvienc,dirvieng,dpt,dsem,hloc,hr,ides,idmun,lat,lon,nes,nhor,prec,probprec,raf,temp,velvien
Abalá,Cielo nublado,6,Noreste,33.35,29.73,Lunes,2023-09-11 14:00:00,40.77,31,1,20.6476,-89.6809,Yucatán,114, 0.00,95.00, 8.87,36.69, 4.65
Abasolo,Despejado,6,Este,81.71,22.66,Lunes,2023-09-11 14:00:00,23.24,11,1,20.4509,-101.5284,Guanajuato,114, 0.00, 0.00,18.01,33.58, 8.38
Abejones,Cielo cubierto,6,Noreste,32.65,18.25,Lunes,2023-09-11 14:00:00,59.28,20,1,17.4358,-96.6082,Oaxaca,114, 0.58, 0.00, 8.96,21.93, 8.42
Acacoyagua,Cielo nublado,6,Suroeste,227.29,24.52,Lunes,2023-09-11 14:00:00,77.89,7,1,15.3410,-92.6746,Chiapas,114, 3.40,95.00, 6.77,26.36, 6.01
Acajete,Poco nuboso,6,Sureste,138.43,13.66,Lunes,2023-09-11 14:00:00,34.09,21,1,19.1049,-97.9527,Puebla,114, 0.00, 0.00,11.23,21.07, 8.25
Acala,Cielo nublado,6,Oeste,277.93,25.39,Lunes,2023-09-11 14:00:00,61.60,7,2,16.5517,-92.8075,Chiapas,114, 0.86, 9.33, 7.07,29.01, 6.88
Acambay de Ruíz Castañeda,Despejado,6,Noreste,52.28,14.48,Lunes,2023-09-11 14:00:00,34.75,15,1,19.9562,-99.8440,Estado de México,114, 0.00, 0.00,17.71,21.80,15.29
Acanceh,Medio nublado,6,Este,98.93,30.11,Lunes,2023-09-11 14:00:00,39.05,31,2,20.8125,-89.4535,Yucatán,114, 0.00,95.00, 8.82,37.44, 3.86
Acapetahua,Medio nublado,6,Suroeste,224.31,28.49,Lunes,2023-09-11 14:00:00,67.48,7,3,15.2828,-92.6891,Chiapas,114, 2.36,95.00,10.55,31.48, 9.31
Acaponeta,Cielo nublado,7,Oeste,259.92,26.95,Lunes,2023-09-11 14:00:00,63.78,18,1,22.4894,-105.3602,Nayarit,114, 1.10, 0.00,17.60,30.33,12.90
Acapulco de Juárez,Cielo nublado,6,Suroeste,224.90,27.07,Lunes,2023-09-11 14:00:00,57.73,12,1,16.8619,-99.8866,Guerrero,114, 0.50, 0.00, 9.70,31.22, 8.94
Acateno,Medio nublado,6,Oeste,267.55,24.54,Lunes,2023-09-11 14:00:00,46.57,21,2,20.1301,-97.2103,Puebla,114, 0.00, 0.00, 7.94,30.22, 7.39
Acatepec,Cielo cubierto,6,Suroeste,231.83,18.20,Lunes,2023-09-11 14:00:00,69.09,12,76,17.3252,-98.9103,Guerrero,114, 0.50, 0.00, 5.67,20.80, 5.04
Acatic,Despejado,6,Suroeste,215.62,19.99,Lunes,2023-09-11 14:00:00,25.26,14,1,20.7794,-102.9053,Jalisco,114, 0.00, 0.00,18.70,30.04, 8.53
Acatlán,Despejado,6,Noreste,51.44,16.27,Lunes,2023-09-11 14:00:00,36.78,13,1,20.1458,-98.4384,Hidalgo,114, 0.00, 0.00,18.61,23.30,14.14
Acatlán de Juárez,Despejado,6,Sureste,149.26,20.88,Lunes,2023-09-11 14:00:00,28.15,14,2,20.4214,-103.5872,Jalisco,114, 0.00, 0.00,11.90,30.18, 5.54
Acatlán de Pérez Figueroa,Cielo cubierto,6,Noreste,55.16,27.73,Lunes,2023-09-11 14:00:00,56.81,20,2,18.5386,-96.6076,Oaxaca,114, 0.00,32.50, 7.16,32.02, 6.26
Acatzingo,Poco nuboso,6,Sur,188.71,15.50,Lunes,2023-09-11 14:00:00,33.04,21,4,18.9795,-97.7855,Puebla,114, 0.06, 0.00, 7.70,23.24, 5.96
Acaxochitlán,Despejado,6,Noreste,50.23,17.65,Lunes,2023-09-11 14:00:00,44.45,13,2,20.1586,-98.2033,Hidalgo,114, 0.00, 0.00,16.68,23.37,13.53
Acayucan,Cielo nublado,6,Noroeste,309.66,28.48,Lunes,2023-09-11 14:00:00,67.95,30,3,17.9488,-94.9139,Veracruz de Ignacio de la Llave,114, 1.46,80.22,10.29,31.41, 7.00
Acolman,Medio nublado,6,Sureste,128.38,13.27,Lunes,2023-09-11 14:00:00,23.16,15,2,19.6355,-98.9119,Estado de México,114, 0.00, 0.00,13.61,23.41,10.84
Aconchi,Medio nublado,7,Suroeste,225.06,23.34,Lunes,2023-09-11 14:00:00,25.63,26,1,29.8260,-110.2285,Sonora,114, 0.00, 0.00,17.27,33.54,16.60
Acteopan,Cielo nublado,6,Sur,200.25,19.78,Lunes,2023-09-11 14:00:00,41.14,21,5,18.7650,-98.7153,Puebla,114, 0.04, 0.00,12.61,26.17,11.23
Actopan,Despejado,6,Noreste,34.05,14.55,Lunes,2023-09-11 14:00:00,29.67,13,3,20.2690,-98.9429,Hidalgo,114, 0.00, 0.00,23.51,23.00,18.32
Acuamanala de Miguel Hidalgo,Medio nublado,6,Suroeste,203.40,13.53,Lunes,2023-09-11 14:00:00,32.71,29,22,19.2247,-98.2008,Tlaxcala,114, 0.00, 0.00, 8.10,21.22, 6.35
Acuitzio,Despejado,6,Este,99.38,18.73,Lunes,2023-09-11 14:00:00,44.63,16,1,19.4963,-101.3329,Michoacán de Ocampo,114, 0.08, 0.00,10.47,24.48, 7.56
Acula,Cielo cubierto,6,Noreste,44.24,29.08,Lunes,2023-09-11 14:00:00,57.95,30,5,18.5060,-95.7746,Veracruz de Ignacio de la Llave,114, 0.00, 0.00, 8.68,33.25, 7.42
Aculco,Despejado,6,Noreste,54.13,14.74,Lunes,2023-09-11 14:00:00,32.06,15,3,20.0994,-99.8280,Estado de México,114, 0.00, 0.00,17.90,22.66,16.30
Acultzingo,Cielo cubierto,6,Este,91.19,16.98,Lunes,2023-09-11 14:00:00,41.64,30,6,18.7188,-97.3028,Veracruz de Ignacio de la Llave,114, 0.13, 0.00,13.86,23.14,11.37
Acuña,Medio nublado,5,Sur,161.33,24.60,Lunes,2023-09-11 14:00:00,24.20,5,2,29.3300,-100.9783,Coahuila,114, 0.00, 0.00,35.14,35.43,16.83
